Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Kansas,US,6/13/2020,38.47889676,-98.75636726,48,2,0,46,0
Missouri,US,6/13/2020,37.50207671,-94.34757022,1,0,0,1,0
Georgia,US,6/13/2020,34.23732119,-84.83887523,542,39,0,503,0
Texas,US,6/13/2020,30.10370699,-97.31206354,293,4,0,289,0
Missouri,US,6/13/2020,38.25271289,-94.34113157,12,1,0,11,0
Kentucky,US,6/13/2020,38.14735938,-83.74588932,10,1,0,9,0
Virginia,US,6/13/2020,38.05852573,-79.73912095,0,0,0,0,0
Arkansas,US,6/13/2020,36.28784385,-92.33782872,14,0,0,14,0
Florida,US,6/13/2020,30.26548745,-85.62122584,141,4,0,137,0
Michigan,US,6/13/2020,43.70639106,-83.98731479,376,28,0,348,0
Wisconsin,US,6/13/2020,46.52868768,-91.19716729,3,1,0,2,0
Texas,US,6/13/2020,33.61640794,-99.21352901,1,0,0,1,0
South Dakota,US,6/13/2020,44.41464384,-98.27858469,434,6,0,428,0
Utah,US,6/13/2020,41.52106798,-113.08328159999999,955,2,0,953,0
North Carolina,US,6/13/2020,35.48531943,-76.84325809,51,0,0,51,0
South Carolina,US,6/13/2020,32.39226291,-80.72619758,566,14,0,552,0
Louisiana,US,6/13/2020,30.64836518,-93.34173616,134,6,0,128,0
Oklahoma,US,6/13/2020,36.7496847,-100.4758872,30,0,0,30,0
Pennsylvania,US,6/13/2020,40.6825484,-80.34921611,611,75,0,536,0
Montana,US,6/13/2020,45.13434354,-112.89846940000001,1,0,0,1,0
Minnesota,US,6/13/2020,46.93479392,-95.67158144,49,0,0,49,0
Oklahoma,US,6/13/2020,35.26862449,-99.68128023,7,0,0,7,0
Pennsylvania,US,6/13/2020,40.00522157,-78.48998442,46,2,0,44,0
Tennessee,US,6/13/2020,35.51123746,-86.45549096,379,4,0,375,0
Virginia,US,6/13/2020,37.3080028,-79.5281964,91,2,0,89,0
Texas,US,6/13/2020,28.41761668,-97.74215593,31,0,0,31,0
New Hampshire,US,6/13/2020,43.51637314,-71.41684235,74,1,0,73,0
Kentucky,US,6/13/2020,36.73355174,-83.67766671,4,0,0,4,0
Texas,US,6/13/2020,31.03736027,-97.4785025,605,6,0,599,0
Ohio,US,6/13/2020,40.01625942,-80.9924051,466,20,0,446,0
Minnesota,US,6/13/2020,47.97373527,-94.93732139,21,0,0,21,0
Georgia,US,6/13/2020,31.76095874,-83.22145359,102,1,0,101,0
Idaho,US,6/13/2020,47.21754179,-116.6586851,19,0,0,19,0
Vermont,US,6/13/2020,43.03519828,-73.09048868,67,1,0,66,0
North Dakota,US,6/13/2020,48.0683985,-99.35916363,3,0,0,3,0
Colorado,US,6/13/2020,37.95474293,-103.0720195,3,0,0,3,0
Arkansas,US,6/13/2020,36.33644656,-94.25680817,1362,7,0,1355,0
Indiana,US,6/13/2020,40.60626947,-87.31093999,37,0,0,37,0
Iowa,US,6/13/2020,42.08011739,-92.06463573,46,1,0,45,0
Minnesota,US,6/13/2020,45.69804958,-93.99514135,190,3,0,187,0
Mississippi,US,6/13/2020,34.81681228,-89.18945516,17,0,0,17,0
Missouri,US,6/13/2020,38.29503305,-93.28756116,14,0,0,14,0
Oregon,US,6/13/2020,44.49167306,-123.4316987,63,5,0,58,0
Tennessee,US,6/13/2020,36.07110411,-88.06849355,8,1,0,7,0
Washington,US,6/13/2020,46.23946995,-119.51208340000001,1106,73,0,1033,0
Michigan,US,6/13/2020,44.63899297,-86.01608482,5,0,0,5,0
New Jersey,US,6/13/2020,40.96010917,-74.07164325,18805,1664,0,17141,0
South Carolina,US,6/13/2020,33.20222596,-79.94654523,364,19,0,345,0
West Virginia,US,6/13/2020,39.46704621,-78.02414609,386,9,0,377,0
Pennsylvania,US,6/13/2020,40.41570541,-75.92457766,4303,338,0,3965,0
Massachusetts,US,6/13/2020,42.37428441,-73.20524838,580,42,0,538,0
New Mexico,US,6/13/2020,35.05163625,-106.6703554,1682,78,0,1604,0
Georgia,US,6/13/2020,31.27590016,-83.22529920000002,66,0,0,66,0
Michigan,US,6/13/2020,41.95447397,-86.41313079999998,822,57,0,765,0
North Carolina,US,6/13/2020,36.0688473,-76.96545943,135,4,0,131,0
Alaska,US,6/13/2020,60.90980451,-159.8561831,4,0,0,4,0
Texas,US,6/13/2020,29.44928723,-98.52019748,4012,84,0,3928,0
Alabama,US,6/13/2020,32.99642064,-87.12511459999996,100,1,0,99,0
Georgia,US,6/13/2020,32.80904227,-83.70489165,533,35,0,498,0
Louisiana,US,6/13/2020,32.34569994,-93.05398492,172,24,0,148,0
Montana,US,6/13/2020,45.42335905,-107.492347,44,1,0,43,0
Wyoming,US,6/13/2020,44.52405055,-107.9960365,11,0,0,11,0
Minnesota,US,6/13/2020,45.42712824,-96.41403739,13,0,0,13,0
Idaho,US,6/13/2020,43.21672879999999,-112.3978437,23,0,0,23,0
Iowa,US,6/13/2020,42.4704581,-92.30524729,1826,53,0,1773,0
Indiana,US,6/13/2020,40.47388153,-85.32499702,29,2,0,27,0
North Carolina,US,6/13/2020,34.61296243,-78.56180059,188,2,0,186,0
Idaho,US,6/13/2020,43.4085812,-113.9752658,515,5,0,510,0
Oklahoma,US,6/13/2020,35.87518314,-98.43307003,9,0,0,9,0
Pennsylvania,US,6/13/2020,40.47961444,-78.34917412,55,1,0,54,0
Texas,US,6/13/2020,30.26640707,-98.3999852,11,1,0,10,0
Virginia,US,6/13/2020,37.13128068,-81.13599391,0,0,0,0,0
Georgia,US,6/13/2020,32.43829035,-83.33035166,54,0,0,54,0
Tennessee,US,6/13/2020,35.59942968,-85.20611967,614,1,0,613,0
Alabama,US,6/13/2020,33.98210918,-86.56790593,102,1,0,101,0
Tennessee,US,6/13/2020,35.68938198,-83.92847788,104,3,0,101,0
Minnesota,US,6/13/2020,44.03554215,-94.06699781,161,1,0,160,0
Mississippi,US,6/13/2020,33.79696941,-90.87372121,185,12,0,173,0
Missouri,US,6/13/2020,37.32449052,-90.02725304,9,0,0,9,0
South Dakota,US,6/13/2020,42.98914167,-97.88592746,8,0,0,8,0
Illinois,US,6/13/2020,38.88829622,-89.43534887,12,1,0,11,0
Idaho,US,6/13/2020,48.29996017,-116.6017932,7,0,0,7,0
Idaho,US,6/13/2020,43.38713372,-111.6161537,73,0,0,73,0
Arkansas,US,6/13/2020,36.3084504,-93.09374925,9,0,0,9,0
Illinois,US,6/13/2020,42.32359279,-88.82345779,520,19,0,501,0
Indiana,US,6/13/2020,40.0509304,-86.46841646,358,37,0,321,0
Iowa,US,6/13/2020,42.03657094,-93.9313999,95,0,0,95,0
Kentucky,US,6/13/2020,38.97065142,-84.72615357,539,21,0,518,0
Missouri,US,6/13/2020,38.99186229,-92.30723575,208,2,0,206,0
